Event ID,Event Name,Focus Unit,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T20,T30,T40,T50,T100,T200,T300,T400,T500,T1000,T2000,T3000,T4000,T5000,T10000,T20000,T30000,T40000,T50000,T100000
10,Don't Let Doubts Hold You Back,Honami Mochizuki,"73,717,000","72,012,202","17,117,921","16,928,446","16,775,365","15,040,000","13,168,280","12,341,027","12,341,027","10,767,606","5,430,390","4,444,444","3,528,414","3,273,501","2,168,620","1,369,173","1,135,969","1,038,406","1,007,323","808,722","608,339","528,106","476,659","441,770","295,638","183,735","124,326","85,342","61,007","13,380"
11,My Color!,Shizuku Hinomori,"30,126,319","30,126,319","21,878,712","21,696,969","21,544,413","20,553,175","20,506,555","20,439,612","20,311,947","20,149,449","8,712,622","5,370,158","4,451,422","4,227,255","2,607,308","1,502,273","1,248,629","1,147,027","1,110,122","881,344","655,925","565,584","506,002","469,584","305,739","184,251","122,293","83,926","60,083","13,395"
12,Nocturne Interlude,Toya Aoyagi,"32,002,022","32,002,022","32,002,022","24,905,738","22,269,420","20,243,471","20,220,525","20,159,773","18,089,833","18,011,112","12,000,001","8,447,214","6,770,000","6,637,694","4,221,013","1,980,404","1,576,928","1,431,520","1,393,394","1,074,578","775,594","672,161","615,479","583,459","404,787","257,880","186,019","135,695","97,050","18,825"
13,Musical Twilight Parade,Shiho Hinomori,"20,108,509","17,777,777","14,811,028","11,001,028","10,271,701","10,000,000","9,121,965","8,888,888","8,688,879","8,601,027","5,144,712","4,365,409","3,782,819","3,566,925","2,604,836","1,601,606","1,334,840","1,237,656","1,196,637","979,020","761,704","678,758","630,899","599,748","438,460","296,680","220,685","169,126","129,522","30,970"
14,Insatiable Pale Color,Ena Shinonome,"80,000,430","77,777,777","43,025,210","40,017,035","35,047,562","30,040,430","30,040,430","25,525,283","25,430,112","20,428,824","12,614,673","9,735,975","7,504,300","6,640,130","4,605,806","2,111,111","1,772,559","1,593,539","1,534,054","1,203,856","862,182","747,779","691,130","657,308","468,341","313,206","234,828","184,303","146,144","40,677"
15,Smile of a Dreamer,Emu Otori,"66,066,066","60,517,510","58,580,909","56,252,525","52,632,342","52,069,666","52,000,000","51,708,909","51,675,909","50,705,730","18,475,781","13,844,017","11,661,420","11,030,171","6,971,710","2,963,983","2,367,788","2,169,796","2,107,086","1,577,559","1,079,370","916,095","832,595","790,693","552,753","360,144","268,762","208,563","164,250","46,815"
16,Doll Festival at the Tenma's,Saki Tenma,"50,900,509","39,300,677","36,613,920","23,456,789","18,545,509","18,502,500","18,008,135","17,162,619","14,855,933","14,326,623","6,900,599","5,317,400","4,536,298","3,951,778","2,484,678","1,591,179","1,379,245","1,275,751","1,244,118","998,491","763,055","675,633","626,480","591,679","432,916","304,667","237,469","191,985","156,206","50,460"
17,Hear Me! Hopeful Show?,Minori Hanasato,"41,400,414","33,333,333","27,777,777","20,120,718","20,120,718","20,120,718","18,390,414","17,762,259","15,397,979","14,444,444","9,689,259","6,424,808","5,555,700","4,650,450","3,000,414","1,855,988","1,527,696","1,416,246","1,377,508","1,097,918","832,643","734,127","681,718","647,969","468,840","326,545","256,449","210,325","174,795","67,290"
18,Singing Among the Cherry Blossoms,Ichika Hoshino,"81,000,302","39,000,000","30,765,321","22,222,222","21,700,811","20,300,018","20,181,122","20,152,218","20,022,002","20,000,319","10,616,137","7,638,072","6,516,875","6,108,098","4,292,110","2,700,130","2,383,491","2,259,264","2,218,423","1,819,179","1,357,478","1,179,962","1,080,113","1,015,883","699,640","459,900","348,547","278,658","228,240","89,828"
19,Secret Distance,Mizuki Akiyama,"59,827,210","55,000,827","52,827,827","39,647,359","35,827,430","35,430,827","34,308,277","34,288,427","32,725,810","30,333,000","20,000,000","15,619,471","13,728,454","13,180,907","8,052,526","3,339,986","2,713,174","2,416,294","2,317,939","1,716,677","1,143,199","958,430","878,731","841,115","596,767","403,509","316,076","259,730","219,475","100,607"
